"video","q1","q2","q5","q6","q7","q8","q11","q12","q13","q14","ppgender","ppage","ppeth","ppeducat"
1,2,-2,5,1,-1,3,2,2,2,2,2,76,1,2
4,4,3,8,3,5,3,4,3,3,4,2,56,1,2
3,2,-2,6,2,3,3,2,1,3,2,1,69,1,2
3,3,1,4,5,5,6,4,2,3,3,2,65,1,3
3,2,-2,6,3,3,1,2,1,2,2,2,46,1,2
1,1,-2,4,3,2,4,3,2,1,3,2,57,1,2
2,5,3,4,4,2,2,3,1,2,2,2,28,1,3
4,3,2,6,3,5,2,1,2,2,3,1,69,1,2
1,2,-2,6,2,4,5,1,3,2,3,1,56,1,4
2,3,1,5,4,4,6,2,3,3,3,2,78,1,2
1,1,-2,4,5,2,6,3,2,3,3,1,66,1,2
4,5,3,4,2,3,2,1,1,3,2,2,45,1,2
1,2,-2,4,1,3,3,2,3,2,2,2,83,1,2
2,2,-2,4,2,4,2,2,1,2,2,1,22,1,3
2,5,3,8,4,4,4,3,4,2,3,1,38,1,3
2,3,2,5,4,3,3,2,1,2,3,1,60,1,2
4,1,-2,4,1,4,1,2,1,2,3,1,48,1,2
1,2,-2,7,2,3,3,1,1,2,3,1,42,1,2
3,2,-2,4,3,4,4,2,2,2,3,1,41,1,3
4,2,-2,6,3,3,3,1,1,2,3,1,70,1,4
3,2,-2,6,2,3,6,4,2,2,4,2,50,1,2
2,3,1,3,2,4,2,2,1,2,3,1,26,1,3
2,3,1,4,3,4,3,1,1,2,2,1,26,1,2
2,1,-2,5,2,2,3,2,4,2,3,1,65,1,2
3,2,-2,4,1,4,2,2,1,2,3,2,34,1,2
1,3,3,5,2,4,3,2,2,2,3,2,59,1,2
2,4,3,5,5,3,3,2,4,2,3,1,51,1,3
2,2,-2,6,1,4,2,1,6,2,3,1,71,1,4
1,5,1,4,3,3,3,3,2,3,2,1,55,1,1
1,5,2,4,2,4,3,2,2,2,3,1,45,1,3
2,2,-2,7,2,4,1,1,1,2,3,1,45,1,3
2,1,-2,3,2,4,3,3,3,3,4,2,42,1,3
2,5,3,4,2,3,2,2,3,2,3,2,21,1,3
1,1,-2,4,4,1,2,4,2,3,4,2,42,1,2
4,1,-2,8,3,4,3,2,1,2,4,1,34,1,2
2,2,-2,6,2,3,4,2,2,2,3,1,40,1,3
1,1,-2,5,2,4,2,3,2,2,3,1,48,1,1
4,2,-2,4,5,5,6,4,3,2,3,2,75,1,3
3,2,-2,4,5,2,2,1,2,2,3,2,56,1,1
4,1,-2,4,2,4,3,2,3,2,3,1,53,1,3
1,1,-2,5,2,2,1,2,1,2,2,2,54,1,2
4,2,-2,5,2,4,1,3,1,2,3,1,58,1,4
1,2,-2,7,1,4,1,2,1,2,3,1,34,1,2
4,1,-2,4,3,1,6,2,4,2,2,2,79,1,1
2,2,-2,5,2,4,1,1,2,2,2,1,39,1,3
4,1,-2,3,2,3,2,3,1,3,2,1,40,1,2
3,1,-2,3,2,3,2,3,2,1,3,1,63,1,3
2,1,-2,2,4,2,2,3,5,1,2,1,49,1,3
1,2,-2,6,2,4,5,1,1,2,3,1,69,1,1
4,2,-2,6,2,4,3,2,2,2,3,1,58,1,2
1,5,3,4,4,3,2,2,2,3,2,2,45,1,3
3,3,2,2,4,2,2,1,2,1,3,1,44,1,3
2,2,-2,5,2,2,2,2,1,2,3,1,37,1,2
3,1,-2,4,2,3,2,2,1,3,2,1,29,1,3
4,2,-2,6,2,2,1,1,2,2,3,1,32,1,3
4,2,-2,6,3,2,2,1,6,3,4,1,19,1,2
2,2,-2,7,2,4,3,4,1,2,3,2,87,1,3
3,5,3,8,4,4,6,4,5,3,4,2,47,1,1
3,1,-2,8,4,1,6,4,6,3,4,2,19,1,3
4,2,-2,6,2,4,2,2,1,2,2,1,30,1,4
4,2,-2,6,1,4,1,1,1,2,3,1,51,1,3
3,3,1,2,4,4,5,3,5,1,1,2,46,1,3
4,2,-2,6,5,5,4,2,2,3,3,2,78,1,2
1,2,-2,7,5,5,6,1,1,3,3,2,37,1,2
3,1,-2,4,5,5,2,2,3,2,2,1,61,1,2
1,3,2,6,2,2,5,3,3,2,3,2,66,1,3
3,1,-2,4,2,4,3,4,1,2,3,1,37,1,3
1,2,-2,3,3,2,2,1,2,2,4,2,55,1,2
1,2,-2,6,2,4,1,1,1,2,3,1,24,1,2
3,1,-2,8,3,3,6,3,4,2,2,1,38,1,1
1,3,3,3,2,4,3,3,4,2,3,1,74,1,2
3,1,-2,4,2,3,6,2,6,2,2,2,82,1,3
2,1,-2,4,1,3,1,1,1,2,3,2,59,1,2
4,1,-2,3,2,2,4,1,2,3,2,1,36,1,3
4,1,-2,4,4,5,5,3,5,1,1,2,45,1,1
1,4,2,6,2,4,2,2,1,2,3,1,69,1,3
2,2,-2,6,2,4,1,4,1,2,3,1,39,1,3
3,1,-2,3,4,2,3,2,3,3,2,1,83,1,4
3,3,1,2,3,2,3,3,2,2,2,1,46,1,4
4,2,-2,6,1,4,1,1,1,2,3,2,57,1,1
2,2,-2,5,3,3,3,3,1,2,3,1,60,1,2
3,3,1,5,2,3,3,2,2,2,3,1,60,1,2
1,2,-2,6,2,5,6,2,3,2,4,2,85,1,2
3,1,-2,4,3,3,3,4,3,3,4,2,38,1,2
1,1,-2,4,2,3,2,2,2,2,2,1,45,1,2
2,1,-2,2,5,2,3,3,3,3,1,1,67,1,1
2,2,-2,6,5,4,2,1,2,3,3,2,52,1,2
1,2,-2,5,3,3,2,2,4,2,3,2,33,1,2
1,5,1,4,4,4,6,3,2,2,3,2,62,1,2
4,2,-2,6,2,2,2,1,1,2,3,1,78,1,4
4,1,-2,1,4,2,5,3,6,3,2,2,52,1,3
4,1,-2,3,1,4,1,4,2,2,3,1,49,1,3
1,3,2,5,5,4,3,1,1,2,3,2,71,1,2
1,2,-2,4,3,4,3,4,2,2,3,2,52,1,3
1,3,3,5,3,2,4,1,2,3,3,1,73,1,4
3,3,3,4,1,4,1,1,2,2,3,1,88,1,2
3,2,-2,6,2,4,1,1,1,2,3,2,60,1,3
4,1,-2,3,2,3,2,1,2,2,3,1,78,1,2
1,1,-2,8,1,4,6,3,4,2,3,1,26,1,1
2,2,-2,6,2,4,3,1,1,2,3,2,64,1,2
4,3,3,3,2,3,3,3,4,2,2,1,72,1,3
3,2,-2,4,2,4,4,2,2,2,3,2,70,1,2
3,3,1,4,4,4,6,3,6,2,3,1,77,1,1
1,1,-2,3,5,2,2,1,2,2,3,1,75,1,2
3,3,1,4,4,5,6,4,6,3,4,2,31,1,4
3,1,-2,4,2,4,3,2,1,2,3,1,74,1,1
1,3,1,4,4,4,2,4,2,2,3,1,52,1,2
4,1,-2,3,4,4,1,2,2,2,3,1,33,1,3
3,2,-2,4,3,3,3,2,1,2,3,1,63,1,2
1,3,3,4,3,2,4,3,2,1,2,2,68,1,4
2,3,3,8,3,2,3,3,2,2,4,1,29,1,3
2,5,3,8,5,5,6,4,6,3,4,2,38,1,2
4,1,-2,4,5,3,3,4,2,2,4,1,70,1,2
2,5,3,8,5,5,6,4,6,2,3,1,47,1,2
1,1,-2,4,2,3,3,2,4,2,3,2,27,1,3
2,2,-2,5,2,4,2,2,1,2,3,2,65,1,2
4,5,3,8,5,5,1,4,6,3,4,2,28,1,2
3,3,2,5,2,2,1,1,1,2,3,1,50,1,4
4,3,3,8,3,3,6,4,4,3,4,1,78,1,1
4,5,3,8,3,3,3,2,2,3,2,1,70,1,1
4,3,2,6,2,3,1,2,1,2,2,1,51,1,4
1,3,3,4,2,3,2,1,1,2,2,1,45,1,2
2,3,2,6,2,4,1,3,2,2,3,2,66,1,1
2,1,-2,3,2,3,3,3,6,3,2,1,55,1,3
4,3,1,5,5,2,6,4,1,2,2,2,37,1,2
1,3,3,6,3,3,4,3,3,3,3,2,73,1,3
2,1,-2,4,1,2,2,1,1,2,3,1,69,1,2
2,2,-2,5,2,4,6,2,2,3,3,1,22,1,2
3,3,1,4,5,2,4,3,2,3,3,2,71,1,1
1,1,-2,4,3,2,3,2,2,2,3,1,51,1,4
1,5,3,8,5,5,6,-1,6,3,4,1,35,1,2
2,2,-2,5,3,3,1,2,3,2,3,2,75,1,1
3,1,-2,4,2,3,3,2,2,2,2,1,62,1,3
3,2,-2,6,2,2,3,1,2,2,3,1,65,1,3
2,1,-2,5,3,4,1,1,1,2,3,1,49,1,2
3,1,-2,7,2,4,3,1,1,2,3,2,68,1,2
2,1,-2,8,3,4,3,3,1,2,3,1,66,1,3
3,3,2,5,1,4,5,1,1,2,3,2,26,1,3
1,5,3,4,2,4,2,2,1,2,3,2,29,1,2
2,1,-2,4,2,3,2,2,2,2,3,2,53,1,4
3,1,-2,3,4,2,3,2,6,3,2,2,50,1,4
2,3,1,4,2,3,3,2,2,3,2,2,38,1,2
1,3,3,4,3,3,1,4,1,2,3,2,64,1,1
1,1,-2,6,3,3,4,4,3,2,3,1,37,1,3
1,5,3,8,5,5,6,4,3,3,4,2,25,1,3
4,2,-2,4,2,2,5,2,5,1,2,1,57,1,2
2,1,-2,4,3,4,3,3,4,2,2,2,72,1,3
3,3,2,5,2,3,1,2,1,3,3,1,80,1,4
2,1,-2,2,4,2,3,3,1,1,1,2,61,1,1
4,1,-2,3,2,1,2,3,2,2,3,2,36,1,3
4,2,-2,4,2,3,2,1,2,2,3,2,65,1,2
1,1,-2,3,2,3,2,2,4,2,3,2,40,1,3
2,2,-2,6,2,4,1,1,1,2,2,1,33,1,3
3,5,3,8,5,5,2,4,1,2,3,2,51,1,2
1,1,-2,2,1,4,1,3,2,2,3,1,52,1,4
1,3,2,4,2,4,6,1,1,2,1,1,42,1,2
3,4,3,-1,2,3,6,4,3,2,3,2,56,1,3
1,2,-2,6,1,4,1,1,1,2,3,2,84,1,2
1,1,-2,2,2,4,2,3,1,2,2,2,70,1,2
4,1,-2,3,3,2,3,3,3,2,4,2,42,1,4
2,1,-2,4,3,4,2,4,2,2,3,2,52,1,3
3,2,-2,6,1,2,1,1,4,2,3,1,72,1,4
4,5,3,8,5,2,6,4,6,3,4,1,28,1,3
1,3,3,5,2,4,3,4,1,2,3,1,49,1,3
1,1,-2,5,3,5,3,2,2,3,2,2,65,1,1
4,3,2,6,3,4,3,2,4,2,3,1,69,1,4
3,3,3,5,2,4,2,1,1,2,3,2,31,1,2
1,2,-2,6,2,4,3,1,2,2,3,1,72,1,4
1,5,3,8,5,2,6,4,6,3,4,2,48,1,2
2,5,3,4,4,4,3,3,5,2,2,1,52,1,1
3,3,3,8,1,4,6,2,2,2,3,2,79,1,1
4,2,-2,6,2,2,1,1,1,2,4,2,80,1,2
2,3,3,6,5,5,6,2,2,2,3,2,81,1,3
1,1,-2,3,3,2,3,2,4,1,2,2,45,1,4
2,2,-2,5,1,4,6,2,2,2,2,2,58,1,2
2,1,-2,2,2,3,2,3,2,2,3,1,47,1,2
3,1,-2,4,3,2,2,3,2,2,2,2,62,1,2
1,1,-2,4,2,3,3,3,3,2,3,1,67,1,2
3,3,1,4,5,3,2,4,3,3,3,2,82,1,3
2,3,2,4,3,4,2,2,2,2,2,2,52,1,2
4,2,-2,5,4,3,2,2,2,3,2,2,76,1,3
2,2,-2,6,2,2,2,2,6,2,3,1,84,1,4
2,2,-2,5,2,4,3,1,1,2,3,2,81,1,2
3,2,-2,5,1,4,1,2,1,2,3,1,19,1,2
1,1,-2,2,4,3,3,2,4,3,2,1,50,1,3
1,5,3,4,5,1,3,2,3,1,2,2,34,1,2
2,5,3,8,3,3,2,2,2,3,4,1,69,1,2
3,2,-2,6,1,3,1,4,1,2,4,1,73,1,2
1,2,-2,5,4,2,5,2,2,2,2,1,36,1,2
1,3,2,4,4,5,5,3,6,3,2,2,57,1,2
3,1,-2,2,3,2,5,3,6,1,4,1,74,1,3
3,5,3,8,3,1,1,2,1,2,2,1,38,1,4
4,3,2,5,1,5,3,3,6,2,2,1,69,1,3
3,2,-2,6,2,4,1,2,1,2,3,2,77,1,2
1,1,-2,8,2,3,2,3,2,2,3,2,40,1,4
1,2,-2,5,2,2,2,2,4,3,2,1,79,1,2
4,2,-2,5,2,4,1,2,1,2,3,1,57,1,2
1,3,2,3,3,3,3,2,3,1,2,1,54,1,4
3,3,1,4,2,4,4,4,1,2,3,1,69,1,4
3,2,-2,6,2,4,6,2,3,3,2,2,73,1,3
2,3,2,6,2,3,1,2,3,1,3,2,36,1,4
3,5,3,8,3,5,6,2,1,3,2,2,18,1,1
3,2,-2,7,3,1,4,3,2,1,2,2,75,1,3
4,2,-2,5,3,4,1,2,1,2,3,1,19,1,2
