city,precinct,zip,race,party,sex,age,turf,voted01,voted00,voted99,family,famsize,represen,reached,other,goaway,nothome,bad,cant,nothing,contact,treatmen,primary
Bridgeport,Beardsley School,6610,,D,F,48,11,0,1,,8271,3,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,79,11,0,0,,8276,2,1,0,0,0,0,1,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,85,11,0,0,,8278,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,33,11,0,0,,8281,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,21,11,0,1,,8285,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,31,11,0,0,,8290,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,34,11,0,1,,8293,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,52,11,0,0,,8302,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,33,11,0,1,,8303,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,52,11,0,1,,8304,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,31,11,0,1,,8305,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,83,11,0,1,,8308,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,44,11,0,0,,8309,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,30,11,1,1,,8310,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,57,11,0,1,,8311,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,36,11,0,0,,8312,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,35,11,1,1,,8314,3,1,0,0,0,0,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,78,11,0,1,,8315,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,87,11,1,1,,8316,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,40,11,0,1,,8317,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,31,11,0,1,,8318,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Beardsley School,6610,,D,F,31,11,0,1,,8320,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Beardsley School,6610,,D,F,44,11,0,0,,8321,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,69,12,1,1,,8434,3,1,0,0,0,0,0,,,0,1,0
Bridgeport,Black Rock School,6605,,D,F,59,12,0,1,,8437,3,1,0,0,0,0,0,,,0,0,1
Bridgeport,Black Rock School,6605,,D,F,23,12,0,1,,8441,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Longfellow School,6605,,D,F,55,12,1,1,,8457,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,45,12,0,0,,8464,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,27,12,0,0,,8467,3,1,0,0,0,1,0,,,0,1,0
Bridgeport,Black Rock School,6605,,D,F,40,12,1,1,,8468,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,42,12,0,1,,8473,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Longfellow School,6605,,D,F,50,12,0,1,,8475,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,40,12,0,0,,8478,1,1,0,0,0,0,0,,,0,0,0
