"weight1","xq2","q1_insert","q1","q1a","q1b","q2","q2a","q2b","q35","q36","ind2","ppgender","ppage","ppeducat","pprent","ppstaten"
0.579999983310699,,2,2,,1,,,,,10,711000,1,64,4,1,33
0.860000014305115,,3,2,,1,,,,8,,622000,2,25,3,1,41
1.41999995708466,,1,1,2,,,,,,2,524000,1,52,3,1,43
0.620000004768372,,3,2,,2,,,,,7,551000,1,41,4,1,21
1.12999999523163,,2,1,2,,,,,7,,334000,1,24,3,1,41
0.620000004768372,,3,2,,1,,,,8,,561000,2,56,2,1,74
0.709999978542328,,2,2,,1,,,,5,,115000,2,29,2,1,82
0.159999996423721,,2,2,,1,,,,,1,,1,77,3,1,56
1.55999994277954,,1,2,,1,,,,1,,,1,50,4,2,56
4.46000003814697,,2,2,,1,,,,,5,523000,1,32,4,1,74
0.839999973773956,,1,1,2,,,,,1,,,2,44,4,1,58
2.72000002861023,,2,2,,1,,,,,,623000,2,50,2,2,63
0.620000004768372,,2,2,,1,,,,,2,,2,61,1,1,56
0.189999997615814,,3,1,2,,,,,,5,813400,2,59,4,1,93
0.829999983310699,,1,2,,1,,,,,5,491000,1,50,4,1,22
0.610000014305115,,1,2,,1,,,,,1,493000,2,31,3,1,16
0.490000009536743,,1,2,,1,,,,7,,,1,72,3,1,59
0.540000021457672,,1,2,,1,,,,,4,624000,1,64,4,2,21
1.41999995708466,,3,2,,1,,,,,5,722000,1,20,3,1,56
0.550000011920929,,2,2,,1,,,,3,,,1,47,4,3,93
0.409999996423721,,1,2,,2,,,,,2,,2,66,3,1,74
1.41999995708466,,1,1,1,,,,,,4,621000,2,29,4,1,22
0.389999985694885,,2,1,2,,,,,3,,,2,71,2,1,23
1.38999998569489,,2,1,2,,,,,,10,339000,2,43,4,1,93
0.759999990463257,,1,2,,1,,,,,1,,2,81,4,1,93
1.52999997138977,,3,2,,2,,,,8,,444000,1,35,2,1,71
0.439999997615814,,1,1,2,,,,,,3,448000,1,47,1,1,43
1.29999995231628,,2,,,,,,,1,,,1,35,3,1,35
0.649999976158142,,3,2,,2,,,,,7,,1,59,4,1,21
0.180000007152557,,1,1,1,,,,,,2,541613,1,60,3,1,33
1.38999998569489,,3,2,,1,,,,8,,517000,1,29,3,2,62
0.479999989271164,,3,2,,2,,,,,10,,1,84,4,1,58
0.949999988079071,,2,2,,1,,,,7,,,2,33,4,1,33
3.65000009536743,,1,1,2,,,,,8,,611000,2,37,4,1,54
0.680000007152557,,2,2,,1,,,,,2,923000,2,51,4,1,21
1.00999999046326,,3,2,,2,,,,6,,,2,65,2,2,21
1.00999999046326,,1,2,,1,,,,,,,2,82,2,2,22
0.720000028610229,,3,2,,1,,,,5,,326000,2,44,1,1,47
3.0699999332428,,2,2,,1,,,,,1,522000,2,38,2,1,93
0.899999976158142,,3,1,2,,,,,,2,,2,52,4,1,54
0.620000004768372,,1,2,,2,,,,9,,541700,2,30,4,2,72
1.44000005722046,,1,1,1,,,,,1,,,2,37,2,1,62
1.1599999666214,,2,2,,1,,,,8,,624000,2,63,1,1,74
0.189999997615814,,2,2,,2,,,,,2,624000,1,60,4,2,93
0.939999997615814,,1,1,1,,,,,,3,,1,54,3,1,14
1.01999998092651,,3,2,,1,,,,8,,,1,71,1,1,43
0.790000021457672,,1,1,2,,,,,3,,,1,34,2,1,93
3.65000009536743,,1,1,1,,,,,5,,541500,1,21,3,1,59
0.310000002384186,,1,,,,,,,,,,1,32,2,2,62
0.699999988079071,,3,2,,2,,,,2,,,2,76,1,2,14
2.8199999332428,,2,2,,2,,,,2,,,2,70,1,1,58
2.6800000667572,,1,1,2,,,,,1,,,1,21,2,1,41
1.0900000333786,,2,2,,1,,,,,,,2,63,4,1,21
0.639999985694885,,1,2,,1,,,,6,,,1,50,1,1,62
1.35000002384186,,1,2,,1,,,,8,,452000,1,41,3,1,53
1.21000003814697,,2,2,,1,,,,1,,,1,19,3,1,93
1.14999997615814,,3,2,,1,,,,2,,711000,1,20,3,1,74
0.28999999165535,,3,2,,1,,,,,4,541500,1,55,3,1,62
0.670000016689301,,1,2,,1,,,,4,,444000,2,59,2,1,33
0.400000005960464,,1,2,,2,,,,9,,,1,56,3,1,55
